path,filename,participant,statement,confidence_level,confidence_type,accuracy,free_cued_recall
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s57.wav,'S2_w31_t1_s57.wav',31,57.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s14.wav,'S2_w31_t1_s14.wav',31,14.0,80.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s06.wav,'S2_w31_t1_s06.wav',31,6.0,100.0,2.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s39.wav,'S2_w31_t1_s39.wav',31,39.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s58.wav,'S2_w31_t1_s58.wav',31,58.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s35.wav,'S2_w31_t1_s35.wav',31,35.0,80.0,1.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s41.wav,'S2_w31_t1_s41.wav',31,41.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s11.wav,'S2_w31_t1_s11.wav',31,11.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s50.wav,'S2_w31_t1_s50.wav',31,50.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s18.wav,'S2_w31_t1_s18.wav',31,18.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s43.wav,'S2_w31_t1_s43.wav',31,43.0,80.0,1.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s69.wav,'S2_w31_t1_s69.wav',31,69.0,80.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s12.wav,'S2_w31_t1_s12.wav',31,12.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s52.wav,'S2_w31_t1_s52.wav',31,52.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s46.wav,'S2_w31_t1_s46.wav',31,46.0,80.0,1.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s20.wav,'S2_w31_t1_s20.wav',31,20.0,100.0,1.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s36.wav,'S2_w31_t1_s36.wav',31,36.0,60.0,1.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s49.wav,'S2_w31_t1_s49.wav',31,49.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s01.wav,'S2_w31_t1_s01.wav',31,1.0,100.0,1.0,1,1
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s53.wav,'S2_w31_t1_s53.wav',31,53.0,,,1,2
